image_name,caption,label
image_1542.jpg,khla and khla at the launch party for their new album,0
image_2179.jpg,the girls are dancing in the street,0
image_1083.jpg,a man in a red shirt is standing on a stage,0
image_370.jpg,a man in a white suit and hat standing on a red carpet,0
image_2572.jpg,a woman in a black shirt and red pants is sitting on a table,0
image_789.jpg,the logo for the new w,0
image_2071.jpg,a logo for a company that sells and sells products,0
image_841.jpg,the logo for los angels,0
image_143.jpg,the cast of the hungers,0
image_28.jpg,a logo for a company that sells and sells products,0
image_1833.jpg,the best celebrity moments of the week,0
image_2687.jpg,a woman sitting at a table with a laptop,0
image_1323.jpg,angelina and brad at the premiere of maleficent,0
image_1261.jpg,kylie mina at the grammys,0
image_204.jpg,a couple is smiling and hugging in the park,0
image_288.jpg,a logo for a company that sells and sells products,0
image_1682.jpg,kim and kanye ' s relationship,0
image_397.jpg,a man in a suit and tie is walking next to a plane,0
image_1803.jpg,the cast of the upcoming series of the show,0
image_250.jpg,"the cast of the upcoming movie, from left to right, is pictured in this composite image",0
image_763.jpg,taylor taylor performing at the mtv summer tour,0
image_1016.jpg,a man sitting in a chair with his arms up,0
image_1998.jpg,a red circle with a white star in the middle,0
image_2998.jpg,a man in a suit and tie is singing into a microphone,0
image_1157.jpg,a woman is standing in front of a large sculpture,0
image_2515.jpg,rihanna and jay at the oscars,0
image_2349.jpg,"taylor taylor, taylor taylor, taylor taylor, taylor taylor, taylor taylor taylor taylor taylor taylor taylor taylor",0
image_2449.jpg,two men in black coats are holding guns,0
image_311.jpg,the cast of the movie ' s ' trolls ',0
image_981.jpg,two women posing for a photo in a room,0
image_1283.jpg,a black background with a red and white logo,0
image_193.jpg,brad and reese on the set of the hangover,0
image_1306.jpg,a man and woman sitting next to each other people,0
image_282.jpg,a man and a woman standing next to each other people,0
image_87.jpg,a man in a black suit,0
image_406.jpg,blake and gwen harris,0
image_516.jpg,two men in suits and one is pointing at the camera,0
image_2229.jpg,a man and woman kissing in front of a wall,0
image_1908.jpg,a logo for a company that sells and sells products,0
image_781.jpg,a man in a suit and tie is smiling,0
image_1836.jpg,celebrity insider logo,0
image_2979.jpg,jennifer ' s secrets - jennifer ' s secrets - jennifer ' s secrets - jennifer ',0
image_2353.jpg,a logo for a company that sells and sells products,0
image_918.jpg,a man singing into a microphone in front of a flag,0
image_2885.jpg,kim and kim ' s birthday party,0
image_2274.jpg,a woman in a wedding dress standing next to a flower arch,0
image_161.jpg,a woman talking on a cell phone,0
image_1484.jpg,lady gaga and blake taylor,0
image_2315.jpg,a man in a suit and tie smiling,0
image_2407.jpg,a man in a black jacket and sunglasses walking a dog,0
image_991.jpg,a woman in a blue dress is looking at the camera,0
image_1342.jpg,"gwen harris and her boyfriend, ryan, are seen in this image",0
image_2450.jpg,the vampires - the vampires,0
image_1.jpg,a man and woman posing for a picture,0
image_340.jpg,president trump and first lady melania,0
image_444.jpg,a man and woman standing on stage,0
image_2337.jpg,a man and woman in a hat and dress,0
image_2675.jpg,a white box with a red bow,0
image_673.jpg,two men singing on stage,0
image_2901.jpg,the kardas - the kardas,0
image_474.jpg,a man holding a sign with a picture of a man in a helmet,0
image_815.jpg,the logo for the us soccer team,0
image_1346.jpg,a man smiling and wearing a suit,0
image_765.jpg,a woman in a black turtle neck sweater and sunglasses,0
image_1699.jpg,lady gaga out with a man in a cap,0
